"time","I.pob","R.pob","S.pob","dia"
40.8,142.3707808541939,727.2486095793575,130.3806095664482,40.8
41,139.8030938464106,731.2796035101887,128.9173026434005,41
41.2,137.2658809377738,735.2376646291009,127.4964544331252,41.2
41.4,134.7596196552098,739.1236701386981,126.116710206092,41.4
41.6,132.2847268550485,742.9385099722231,124.7767631727288,41.6
41.8,129.8415664827808,746.6830889243137,123.4753445929067,41.8
42,127.4304515483744,750.3583183651518,122.2112300864756,42
42.2,125.0516462495405,753.9651189787102,120.9832347717516,42.2
42.4,122.7053683623495,757.5044191730981,119.7902124645543,42.4
42.6,120.3917810755311,760.9771524192436,118.6310665052274,42.6
42.8,118.1110148623135,764.3842549112205,117.5047302264684,42.8
43,115.8631605668318,767.7266660481671,116.4101733850044,43
43.2,113.6482780093174,771.005328290709,115.3463936999767,43.2
43.4,111.4663902629891,774.221180958593,114.31242877842,43.4
43.6,109.3174790381658,777.3751663768658,113.307354584969,43.6
43.8,107.2014975568248,780.4682241692145,112.3302782739597,43.8
44,105.1183739631836,783.5012902803337,111.3803357564805,44
44.2,103.0680051560639,786.4753094343373,110.4566854095948,44.2
44.4,101.0502638060421,789.391215300974,109.5585208929784,44.4
44.6,99.06500026482443,792.2499378766016,108.6850618585669,44.6
44.8,97.11204756986794,795.0523951459649,107.8355572841589,44.8
45,95.19121688897505,797.799504954505,107.0092781565115,45
45.2,93.30229350674185,800.4921896283777,106.2055168648721,45.2
45.4,91.44504612377185,803.1313657550357,105.4235881211839,45.4
45.6,89.61923113251738,805.7179396136551,104.6628292538184,45.6
45.8,87.82460065877669,808.2527847642754,103.9226145769388,45.8
46,86.06088708583165,810.7367851319065,103.2023277822537,46
46.2,84.32780960202683,813.1708156415926,102.5013747563743,46.2
46.4,82.62506156856129,815.5557656651611,101.819172766273,46.4
46.6,80.95233973741558,817.8924953754531,101.1551648871281,46.6
46.8,79.309327607509,820.1818563835278,100.5088160089614,46.8
47,77.69569892344531,822.424692278861,99.87960879769352,47
47.2,76.11111778479919,824.6218419505675,99.26704026463482,47.2
47.4,74.55524787458016,826.7741340269823,98.6706180984402,47.4
47.6,73.02774311073185,828.8823862673252,98.08987062194591,47.6
47.8,71.52825302143094,830.947404454069,97.52434252450257,47.8
48,70.05641875007788,832.9699777381009,96.97360351182378,48
48.2,68.6118826975716,834.9508869203544,96.43723038207695,48.2
48.4,67.19428372605657,836.8909118505359,95.91480442341094,48.4
48.6,65.80325916888128,838.7908234828498,95.40591734827171,48.6
48.8,64.43844527814699,840.6513775106112,94.91017721124275,48.8
49,63.09946834059105,842.4733054246476,94.42722623476044,49
49.2,61.7859604779018,844.2573399728012,93.95669954929438,49.2
49.4,60.4975499110592,846.0042008635307,93.49824922540601,49.4
49.6,59.23386221706502,847.7146064624576,93.05153132047147,49.6
49.8,57.99452332489363,849.3892560357634,92.61622063933527,49.8
50,56.77916284006588,851.0288365588526,92.19200060107224,50
50.2,55.58741218751992,852.6340231481902,91.77856466427977,50.2
50.4,54.41890239446481,854.2054824106129,91.37561519491224,50.4
50.6,53.27325641551921,855.7438851706556,90.98285841381515,50.6
50.8,52.15010629621673,857.249882077634,90.60001162613932,50.8
51,51.04908494632777,858.7241149226124,90.22680013104892,51
51.2,49.96983531384788,860.1672007193984,89.86296396674219,51.2
51.4,48.91199719978332,861.579758364451,89.50824443575331,51.4
51.6,47.87521083677392,862.9623951569862,89.16239400622676,51.6
51.8,46.85911825093613,864.3157081338541,88.82517361519562,51.8
52,45.86336799476258,865.6402799895351,88.49635201568725,52
52.2,44.88761368768242,866.9366877049339,88.17569860736774,52.2
52.4,43.93151006765403,868.205495502385,87.86299442994421,52.4
52.6,42.99471449583737,869.4472590765749,87.5580264275704,52.6
52.8,42.07688019367586,870.662526320429,87.26059348587729,52.8
53,41.17766871163345,871.8518348739817,86.97049641436705,53
53.2,40.2967481307953,873.0157123603542,86.68753950883311,53.2
53.4,39.43379235368238,874.154676900255,86.41153074604539,53.4
53.6,38.58847562212742,875.2692387965428,86.14228558131296,53.6
53.8,37.7604742610602,876.3598961424495,85.87962959647408,53.8
54,36.94947242718433,877.4271393395081,85.62338823329178,54
54.2,36.15515746799802,878.4714495311091,85.37339300087763,54.2
54.4,35.37721927216591,879.4933016553869,85.12947907243242,54.4
54.6,34.61535356556949,880.4931594662401,84.89148696817584,54.6
54.8,33.86925922831867,881.4714766717765,84.65926409988988,54.8
55,33.13863897903345,882.4286969481743,84.43266407277727,55
55.2,32.42319987222658,883.3652563307497,84.21154379700927,55.2
55.4,31.72265307098206,884.2815902270779,83.99575670192543,55.4
55.6,31.03671354200907,885.1781209105786,83.78516554739744,55.6
55.8,30.36510063286866,886.0552627490408,83.57963661807459,55.8
56,29.70753920957685,886.9134119363804,83.37904885402665,56
56.2,29.0637574839927,887.7529642523538,83.18327826363797,56.2
56.4,28.43348694715406,888.5743137123094,82.99219934052191,56.4
56.6,27.81646237584324,889.3778532926856,82.8056843314564,56.6
56.8,27.21242361563338,890.1639632394069,82.62361314494326,56.8
57,26.62111773140833,890.9329981378061,82.44588413076721,57
57.2,26.04229407480287,891.6853186908787,82.27238723429817,57.2
57.4,25.47570663439945,892.421275300528,82.10301806505032,57.4
57.6,24.92111123007075,893.1412197231167,81.93766904678817,57.6
57.8,24.37827024468188,893.8454869491455,81.77624280614572,57.8
58,23.84694973311918,894.5344074243698,81.61864284248246,58
58.2,23.32692009711185,895.2083043372272,81.46477556563083,58.2
58.4,22.8179555197233,895.8674945894592,81.31454989078672,58.4
58.6,22.3198312197878,896.5122961010479,81.16787267913331,58.6
58.8,21.83232745906541,897.1430179497722,81.0246545911312,58.8
59,21.35522809632491,897.7599638433277,80.88480806031546,59
59.2,20.88832426857625,898.3634224004871,80.74825333090435,59.2
59.4,20.43140771583335,898.9536850010633,80.61490728307064,59.4
59.6,19.98427488525976,899.5310339719775,80.48469114272912,59.6
59.8,19.54672592766508,900.095745270136,80.35752880216475,59.8
60,19.11856544811106,900.6480878064291,80.23334674542532,60
60.2,18.69959980157602,901.1883299148383,80.11207028355086,60.2
60.4,18.28963984301843,901.7167316520529,79.9936285048931,60.4
60.6,17.88849992722377,902.2335476976695,79.87795237507034,60.6
60.8,17.49599923821641,902.7390235796736,79.7649771820731,60.8
61,17.1119592794777,903.2334027003781,79.65463802010754,61
61.2,16.73620405805636,903.7169254940626,79.54687044784478,61.2
61.4,16.36855943776715,904.1898311681128,79.44160939408377,61.4
61.6,16.00885543332889,904.6523516469161,79.3387929197179,61.6
61.8,15.65692830524189,905.1047069484974,79.2383647462227,61.8
62,15.31261571981937,905.5471167793529,79.14026750078875,62
62.2,14.97575870072757,905.9797957826835,79.0444455165492,62.2
62.4,14.64620028637796,906.402956569994,78.95084314358712,62.4
62.6,14.32378820743138,906.8168036215321,78.85940817099457,62.6
62.8,14.00837256458344,907.2215383420906,78.77008909328282,62.8
63,13.69980613937246,907.6173582712318,78.68283558935215,63
63.2,13.39794496685575,908.0044561963613,78.59759883673891,63.2
63.4,13.10264733630594,908.3830222339998,78.5143304296501,63.4
63.6,12.81377429681584,908.7532424934138,78.43298320972589,63.6
63.8,12.53118957274221,909.1152993046422,78.35351112257095,63.8
64,12.2547605955153,909.4693686591488,78.27587074529148,64
64.2,11.98435648793606,909.8156251134162,78.20001839860367,64.2
64.40000000000001,11.71984893390662,910.1542396209246,78.12591144512525,64.40000000000001
64.59999999999999,11.4611116832081,910.4853807132681,78.0535076034805,64.59999999999999
64.8,11.20802130371997,910.8092125935628,77.98276610267382,64.8
65,10.96045851661193,911.1258925365184,77.91364894682599,65
65.2,10.7183060303628,911.4355754034941,77.84611856609956,65.2
65.40000000000001,10.48144892374362,911.7384127813932,77.78013829482059,65.40000000000001
65.59999999999999,10.24977225809229,912.0345577435281,77.71566999833767,65.59999999999999
65.8,10.02316550091423,912.3241559292478,77.65267856979659,65.8
66,9.801519878151201,912.6073508303198,77.59112929148847,66
66.2,9.584729224856542,912.8842820380942,77.53098873700951,66.2
66.40000000000001,9.372688835492093,913.1550876148638,77.47222354960495,66.40000000000001
66.59999999999999,9.165296561248736,913.4199019905549,77.41480144815799,66.59999999999999
66.8,8.962452253556272,913.6788568785364,77.35869086786933,66.8
67,8.764057840214543,913.9320811355233,77.30386102422443,67
67.2,8.570017711532563,914.1796998065449,77.25028248188494,67.2
67.40000000000001,8.380238089899818,914.4218357015617,77.19792620850119,67.40000000000001
67.59999999999999,8.194627036767404,914.6586091888805,77.14676377431479,67.59999999999999
67.8,8.013094099078081,914.8901389721432,77.09676692874116,67.8
68,7.835551138533437,915.1165402758496,77.04790858557917,68
68.2,7.661912370894012,915.3379247771395,77.00016285192837,68.2
68.40000000000001,7.492093708226074,915.5544019615344,76.95350433020134,68.40000000000001
68.59999999999999,7.32601270597505,915.7660791775261,76.9079081164609,68.59999999999999
68.8,7.163587004350471,915.9730645187161,76.86334847689548,68.8
69,7.004737033706159,916.1754617051172,76.81980126113847,69
69.2,6.849384983210991,916.3733720913336,76.77724292541663,69.2
69.40000000000001,6.697455911144296,916.5668926140121,76.73565147480443,69.40000000000001
69.59999999999999,6.548875276795822,916.7561202441079,76.69500447905646,69.59999999999999
69.8,6.403570057899302,916.9411499741714,76.65527996788906,69.8
70,6.26146903887607,917.1220742705297,76.61645669055346,70
70.2,6.122502718988154,917.2989832205892,76.57851406038132,70.2
70.40000000000001,5.986602844319777,917.4719652382621,76.5414319173764,70.40000000000001
70.59999999999999,5.853702740615779,917.6411066661772,76.50519059316508,70.59999999999999
70.8,5.723736981684993,917.8064922508058,76.46977076746695,70.8
71,5.59664126409367,917.9682054184849,76.43515331737919,71
71.2,5.47235270281111,918.1263276313991,76.40131966574755,71.2
71.40000000000001,5.350810234649985,918.2809377172473,76.3682520480604,71.40000000000001
71.59999999999999,5.231954005656215,918.4321129491956,76.33593304510612,71.59999999999999
71.8,5.115725278018384,918.579929198546,76.30434552339379,71.8
72,5.002065784190214,918.7244620289557,76.27347218681244,72
72.2,4.890919052809229,918.8657843815286,76.24329656562053,72.2
72.40000000000001,4.782229885451783,919.0039675202823,76.21380259422403,72.40000000000001
72.59999999999999,4.675945083103055,919.1390798112036,76.18497510565129,72.59999999999999
72.8,4.57201195063976,919.2711891756757,76.15679887364239,72.8
73,4.47037878376697,919.4003622981104,76.12925891808004,73
73.2,4.370995124262342,919.5266641891321,76.10234068656258,73.2
